symbol,gene_id,treatment_splicing_P,time_splicing_P,treatment_over_time_splicing_P,flag_treatment_splicing_P05,flag_time_splicing_P05,flag_trt_over_time_splicing_P05
Dsim\Act88F,FBgn0012823,0.43659295241596,0.49402796547527,0.74784796784058,0,0,0
Dsim\Adhr,FBgn0012825,0.00043636080508,0.14164696056764,0.99251975129783,1,0,0
Dsim\Amy-d,FBgn0012826,,,,0,0,0
Dsim\Amy-p,FBgn0012827,,,,0,0,0
Dsim\Est-6,FBgn0012832,0.06570633106213,0.40776884398517,0.40776884398517,0,0,0
Dsim\Gpdh,FBgn0012837,0.63001022999646,0.75289494897669,0.9828661066493,0,0,0
Dsim\GstD1,FBgn0012838,0.00006333816406,0.04935505838191,0.23643122615529,1,1,0
Dsim\Hsp83,FBgn0012840,,,,0,0,0
Dsim\Mlc1,FBgn0012844,0.67273462536126,0.69581420616534,0.13946472922054,0,0,0
Dsim\MtnA,FBgn0012845,0.16800673809342,0.14106822196513,0.14106822196513,0,0,0
Dsim\N,FBgn0012846,0.12981061286408,0.99537871517612,0.01720579650312,0,0,1
Dsim\Pgd,FBgn0012849,0.32903257291153,0.37369967781616,0.37369967781616,0,0,0
Dsim\Rdl,FBgn0012851,0.96627507335918,0.99900640300373,0.00227097440045,0,0,1
Dsim\Sod,FBgn0012854,0.32903257291153,0.37369967781616,0.37369967781616,0,0,0
Dsim\Yp2,FBgn0012859,,,,0,0,0
Dsim\Zw,FBgn0012860,0.00030479270943,0.9104289641748,0.50017685430523,1,0,0
Dsim\ci,FBgn0012866,0.30317111976387,0.1504386949106,0.77457286277053,0,0,0
Dsim\tra,FBgn0012901,0.14982627702942,0.45130912702315,0.17104679201706,0,0,0
Dsim\w,FBgn0012902,,,,0,0,0
Dsim\z,FBgn0012904,0.41562777283279,0.00096065202349,0.00520315142846,0,1,1
Dsim\Gld,FBgn0013875,0.74239190675179,0.48454491021023,0.26075147942851,0,0,0
Dsim\ref(2)P,FBgn0013883,0.32903257291153,0.37369967781616,0.37369967781616,0,0,0
Dsim\v,FBgn0013884,0.67448565726535,0.92536373341554,0.98702420478975,0,0,0
Dsim\Dl,FBgn0014814,0.51631951268708,0.82224052457984,0.78383412672292,0,0,0
Dsim\r,FBgn0015169,0.08980602415097,0.5386484498973,0.97923752347912,0,0,0
Dsim\Top2,FBgn0015670,0.0292224281023,0.98227108885185,0.81225317457736,1,0,0
Dsim\dpp,FBgn0015673,0.03965391897161,0.57440819834022,0.41366818045227,1,0,0
Dsim\Ddc,FBgn0016334,0.2984130731051,0.65392766575262,0.00009863887017,0,0,1
Dsim\Lsp1gamma,FBgn0016340,,,,0,0,0
Dsim\Sxl,FBgn0016343,0.45981791562215,0.66280248940568,0.1421719061413,0,0,0
Dsim\h,FBgn0016346,0.12998655670816,0.99399752475813,0.31516463825086,0,0,0
Dsim\janA,FBgn0016348,0.09683413313749,0.34043901914763,0.43819145195482,0,0,0
Dsim\run,FBgn0016352,0.5720156379987,0.3906913227509,0.92502888805813,0,0,0
Dsim\ry,FBgn0016353,0.02333313170456,0.06674545232171,0.64796527582811,1,0,0
Dsim\twi,FBgn0016355,,,,0,0,0
Dsim\up,FBgn0018225,0.73824470247735,0.15064875345575,0.3970755781816,0,0,0
Dsim\ey,FBgn0018281,0.88608905978864,0.15485007077617,0.4823662247335,0,0,0
Dsim\amd,FBgn0018304,0.01255805485542,0.88793144493317,0.26467329767665,1,0,0
Dsim\Acph-1,FBgn0018327,0.47055351980413,0.80095035562689,0.6811806558992,0,0,0
Dsim\tim,FBgn0020076,0.57248465134617,0.06585120852325,0.95301045881547,0,0,0
Dsim\boss,FBgn0020078,0.0054050996804,0.00240144731742,0.84897809963205,1,1,0
Dsim\Sry-alpha,FBgn0020081,,,,0,0,0
Dsim\Men,FBgn0020700,0.36427660267662,0.36205949053067,0.36205949053067,0,0,0
Dsim\Hex-C,FBgn0021123,0.40511154934654,0.49851993465245,0.07026656704983,0,0,0
Dsim\Hsp70Ab,FBgn0022481,,,,0,0,0
Dsim\Hsp70Aa,FBgn0022482,,,,0,0,0
Dsim\Cat,FBgn0022505,0.56359778486226,0.66750358426353,0.66750358426353,0,0,0
Dsim\Ace,FBgn0022516,0.56984324734067,0.97945737542757,0.03904810279616,0,0,1
Dsim\ATPsyn-beta,FBgn0022517,,,,0,0,0
Dsim\Cyp4d2,FBgn0024395,0.76087780568527,0.58446124930788,0.93138304019849,0,0,0
Dsim\Cyp4d1,FBgn0024396,0.30304305046416,0.76406717115787,0.11491758275411,0,0,0
Dsim\prod,FBgn0024778,0.59277411104246,0.56563110312739,0.41987211393968,0,0,0
Dsim\sima,FBgn0025029,0.04987011799037,0.77381256486607,0.64426273475744,1,0,0
Dsim\pros,FBgn0025030,0.46300639294725,0.12578021686098,0.99840753280922,0,0,0
Dsim\pnt,FBgn0025031,0.51771694426479,0.43932979110391,0.61264893596807,0,0,0
Dsim\msi,FBgn0025033,0.03938628856243,0.40574604006465,0.2210636642142,1,0,0
Dsim\Tpi,FBgn0025034,0.3770492570465,0.4360892459056,0.69154399119166,0,0,0
Dsim\Src64B,FBgn0025035,0.88428952986638,0.13522721860701,0.87503615399159,0,0,0
Dsim\LanB2,FBgn0025036,0.43695030665011,0.17475595559185,0.01802816102274,0,0,1
Dsim\CecA1,FBgn0025039,0.92542355282139,0.11645415476572,0.04820257120956,0,0,1
Dsim\Cdc37,FBgn0025042,0.00101408292113,0.82117247731357,0.6817461695663,1,0,0
Dsim\GD24185,FBgn0025651,0.11067344221191,0.29921151869039,0.05532989518704,0,0,0
Dsim\Su(H),FBgn0027417,0.20898426074701,0.04215997296222,0.08954926117177,0,1,0
Dsim\anon-EST:fe1E9,FBgn0027801,0.84169001834295,0.28506512910973,0.63691340194657,0,0,0
Dsim\anon-EST:fe1A3,FBgn0027802,0.63908102666594,0.72818236585583,0.52576299910641,0,0,0
Dsim\Desat1,FBgn0027803,0.34000778890621,0.11869276018457,0.49688291371549,0,0,0
Dsim\alpha-Est4,FBgn0027806,,,,0,0,0
Dsim\GD14652,FBgn0028445,,,,0,0,0
Dsim\Su(P),FBgn0028446,0.55834917909821,0.27028917537481,0.43832791929231,0,0,0
Dsim\Tl,FBgn0028769,0.75306499343975,0.00148843945934,0.51470584050348,0,1,0
Dsim\Tehao,FBgn0028770,0.58472371386301,0.36187938362794,0.66151320838918,0,0,0
Dsim\sta,FBgn0029243,0.09108718956195,0.04297782636715,0.05483921959128,0,1,0
Dsim\Rel,FBgn0029245,0.32903257291153,0.37369967781616,0.37369967781616,0,0,0
Dsim\Ras85D,FBgn0029246,0.87003186127743,0.00717990769321,0.22787130064519,0,1,0
Dsim\Ras64B,FBgn0029247,0.05391492078267,0.00643689595803,0.01176086426349,0,1,1
Dsim\R,FBgn0029248,0.65811891566404,0.27071798672653,0.02063346316291,0,0,1
Dsim\RpL32,FBgn0040418,0.67532667171336,0.71260252846511,0.19003284077539,0,0,0
Dsim\crm,FBgn0041270,0.39562254649852,0.68955871519754,0.5093586128148,0,0,0
Dsim\tld,FBgn0041655,,,,0,0,0
Dsim\sqh,FBgn0041656,0.32903257291153,0.37369967781616,0.37369967781616,0,0,0
Dsim\sog,FBgn0041657,0.75458017592776,0.9702772268033,0.21854655822457,0,0,0
Dsim\pit,FBgn0041658,0.0587688082914,0.16646548777554,0.60543228929058,0,0,0
Dsim\mira,FBgn0041661,0.72368065123913,0.24267923859875,0.02210798310604,0,0,1
Dsim\mei-9,FBgn0041662,0.376052501159,0.80291567186507,0.13712277350294,0,0,0
Dsim\mei-218,FBgn0041663,0.92295158420459,0.1576450561788,0.20420952832051,0,0,0
Dsim\hyd,FBgn0041664,0.32629041817482,0.67162348101161,0.0151176286833,0,0,1
Dsim\fzo,FBgn0041665,0.31715132256123,0.59904773946039,0.9896290545834,0,0,0
Dsim\bnb,FBgn0041666,0.03531432762631,0.24401583150462,0.24401583150463,1,0,0
Dsim\T-cp1,FBgn0041667,0.87980592637759,0.34274537300526,0.90952749257282,0,0,0
Dsim\Osbp,FBgn0041668,,,,0,0,0
Dsim\Hsc70-4,FBgn0041669,,,,0,0,0
Dsim\Cen190,FBgn0041670,0.87613388873884,0.75877272128844,0.90378792454087,0,0,0
Dsim\AP-50,FBgn0041673,0.67760006410053,0.75850068008793,0.42531750948462,0,0,0
Dsim\Pbprp3,FBgn0041892,0.22257904187452,0.82977917284791,0.54571722093465,0,0,0
Dsim\Acp36DE,FBgn0041931,,,,0,0,0
Dsim\Hsp70Bb,FBgn0042853,,,,0,0,0
Dsim\Hsp70Ba,FBgn0042854,,,,0,0,0
Dsim\EG:EG0007.9,FBgn0042857,0.56183409171794,0.46903488843044,0.5598852140454,0,0,0
Dsim\EG:EG0007.7,FBgn0042858,0.15688575739529,0.89859490361763,0.79625619072093,0,0,0
Dsim\fru,FBgn0043395,0.06791134626229,0.8989321400738,0.59338428493979,0,0,0
Dsim\kni,FBgn0044187,0.00400024991664,0.51344470426483,0.010054962678,1,0,1
Dsim\en,FBgn0044189,0.0939483312197,0.01576149439913,0.0974872332544,0,1,0
Dsim\cid,FBgn0044191,,,,0,0,0
Dsim\Sr-CI,FBgn0044195,0.51039189414001,0.03178603182321,0.1500640711742,0,1,0
